task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
42	69/0c5cb2	2032811	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (NA12815_F)	COMPLETED	0	2026-09-05 10:48:19.431	1m 19s	1m 19s	512.9%	5.4 GB	6.6 GB	20.7 GB	19.3 GB
41	28/8aaabe	2028358	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (NA12399_M)	COMPLETED	0	2026-09-05 10:47:18.373	2m 32s	2m 31s	99.8%	219.2 MB	222.7 MB	21.9 GB	1.7 KB
48	bd/a2ce54	2039545	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (NA12815_F)	COMPLETED	0	2026-09-05 10:49:50.090	11.1s	10.7s	267.1%	46.1 MB	277.5 MB	5.9 GB	3.6 MB
51	b8/33995f	2041049	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA12815_F)	COMPLETED	0	2026-09-05 10:50:02.163	21.8s	21.4s	134.7%	6.7 MB	220.2 MB	5.9 GB	2.9 KB
50	09/60ecf8	2043535	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (NA12815_F)	COMPLETED	0	2026-09-05 10:50:23.988	57s	56.6s	157.3%	8.6 MB	221.7 MB	5.9 GB	256 KB
52	e6/f6121c	2048174	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (NA12815_F)	COMPLETED	0	2026-09-05 10:51:21.017	422ms	28ms	114.3%	3.1 MB	4.4 MB	3.7 MB	6.5 KB
49	8d/c371c0	2040842	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (NA12399_M)	COMPLETED	0	2026-09-05 10:50:01.158	2m 7s	2m 7s	99.8%	15.5 MB	19.1 MB	21.9 GB	140.5 MB
37	33/5175de	2013667	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (NA11832_F)	COMPLETED	0	2026-09-05 10:43:20.678	11m 32s	11m 32s	467.6%	37.7 GB	39.2 GB	76.5 GB	52 GB
43	b1/ead6ac	2038004	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (NA12815_F)	COMPLETED	0	2026-09-05 10:49:38.484	7m 15s	7m 15s	653.3%	18.9 GB	22.6 GB	20.5 GB	27.9 MB
44	b3/8d85da	2059261	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (NA12751_F)	COMPLETED	0	2026-09-05 10:56:53.670	1m 6s	1m 5s	524.1%	5.3 GB	6.6 GB	17.4 GB	15.1 GB
55	c5/0806be	2063832	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (NA11832_F)	COMPLETED	0	2026-09-05 10:57:59.439	1m 6s	1m 6s	512.6%	5.3 GB	6.6 GB	16.8 GB	14.6 GB
59	f0/3410b2	2067254	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (NA11832_F)	COMPLETED	0	2026-09-05 10:59:05.576	8s	7.5s	269.1%	30.7 MB	254 MB	4 GB	3 MB
58	d8/d16489	2067242	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (NA12751_F)	COMPLETED	0	2026-09-05 10:59:05.571	8.5s	8.1s	267.1%	30.4 MB	253.9 MB	4.2 GB	3.2 MB
65	c9/272f5f	2069106	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (NA12751_F)	COMPLETED	0	2026-09-05 10:59:14.103	537ms	31ms	98.8%	3.1 MB	4.4 MB	3.3 MB	6.5 KB
60	d7/fc13c0	2069049	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (NA11832_F)	COMPLETED	0	2026-09-05 10:59:14.090	607ms	27ms	84.5%	3.1 MB	4.4 MB	3.1 MB	6.5 KB
62	35/40d54e	2069040	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA11832_F)	COMPLETED	0	2026-09-05 10:59:14.087	18.4s	17.9s	125.7%	6.8 MB	220.2 MB	4 GB	2.9 KB
64	d6/00f855	2070082	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (NA12751_F)	COMPLETED	0	2026-09-05 10:59:14.645	19.1s	18.7s	126.3%	6.8 MB	220.2 MB	4.2 GB	2.9 KB
61	11/74f2d8	2069068	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (NA11832_F)	COMPLETED	0	2026-09-05 10:59:14.095	48.4s	47.5s	136.4%	8.5 MB	221.5 MB	4 GB	256 KB
66	33/337155	2069086	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (NA12751_F)	COMPLETED	0	2026-09-05 10:59:14.099	49.3s	48.7s	139.0%	8.5 MB	221.7 MB	4.2 GB	256.1 KB
57	83/6932d8	2067236	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:CUSTOM_TX2GENE (null)	COMPLETED	0	2026-09-05 10:59:05.567	1m 32s	1m 32s	100.0%	132.5 MB	136.4 MB	6.2 GB	22.2 MB
45	49/c8724e	2055942	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (NA12751_F)	COMPLETED	0	2026-09-05 10:54:52.866	7m 15s	7m 14s	645.8%	19.7 GB	22.7 GB	21.7 GB	27.9 MB
54	18/0ba8a4	2086578	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (NA12399_M)	COMPLETED	0	2026-09-05 11:02:07.384	32s	31.6s	166.0%	18.1 GB	21.5 GB	17.1 GB	2.1 MB
53	cf/11fe0a	2059270	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (NA12815_F)	COMPLETED	0	2026-09-05 10:56:53.675	9m 41s	9m 39s	120.3%	22.9 GB	29.2 GB	11.8 GB	6.1 GB
63	7f/8b840f	2080800	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (NA11832_F)	COMPLETED	0	2026-09-05 11:00:37.878	7m 20s	7m 19s	123.4%	21.9 GB	28.5 GB	7.9 GB	4.1 GB
73	c3/1a7933	2104989	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (NA11832_F)	COMPLETED	0	2026-09-05 11:07:57.966	9.8s	8.7s	251.2%	30.7 MB	253.9 MB	4.1 GB	3 MB
